"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct","spatial_stim","spatial_correct","temp_conf"
"13/04/2021 15:03:09","13/04/2021 11:03:12",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",30,2301.18999999831,4,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",6,4,NA,"hippo.png",4,NA
"13/04/2021 15:03:12","13/04/2021 11:03:15",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",23,1982.06500000379,2,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",5,2,NA,"guava.png",2,NA
"13/04/2021 15:03:14","13/04/2021 11:03:17",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",21,960.409999999683,3,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",3,3,NA,"coffee.png",3,NA
"13/04/2021 15:03:16","13/04/2021 11:03:19",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",26,1015.13999999588,4,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",2,4,NA,"ferret.png",4,NA
"13/04/2021 15:03:18","13/04/2021 11:03:21",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",24,1321.43500000529,3,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",6,3,NA,"nachos.png",3,NA
"13/04/2021 15:03:20","13/04/2021 11:03:23",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",29,938.700000006065,1,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",5,1,NA,"pug.png",1,NA
"13/04/2021 15:03:22","13/04/2021 11:03:25",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",27,821.059999994759,1,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",3,1,NA,"owl.png",1,NA
"13/04/2021 15:03:24","13/04/2021 11:03:27",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",20,923.060000000987,4,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",2,4,NA,"popcornshrimp.png",4,NA
"13/04/2021 15:03:26","13/04/2021 11:03:29",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",25,990.384999997332,3,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",1,3,NA,"parrot.png",3,NA
"13/04/2021 15:03:29","13/04/2021 11:03:31",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",22,1340.67499999946,4,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",4,4,NA,"cabbage.png",4,NA
"13/04/2021 15:03:31","13/04/2021 11:03:34",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",28,2028.74000000156,2,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",4,2,NA,"pig.png",2,NA
"13/04/2021 15:03:33","13/04/2021 11:03:36",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",19,989.71999999776,1,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",1,1,NA,"watermelon.png",1,NA
"13/04/2021 15:07:04","13/04/2021 11:07:07",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b2",2,"SS5",24,2083.71999999508,3,1,1,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",6,3,NA,"acornsquash.png",3,NA
"13/04/2021 15:07:08","13/04/2021 11:07:11",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b2",2,"SS5",30,3156.98999999586,2,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",6,2,NA,"rat.png",2,NA
"13/04/2021 15:07:12","13/04/2021 11:07:14",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b2",2,"SS5",25,2169.67999999906,3,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",1,3,NA,"deer.png",3,NA
"13/04/2021 15:07:14","13/04/2021 11:07:17",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b2",2,"SS5",23,1273.02500000224,1,1,0,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",5,2,NA,"bellpeppers.png",2,NA
