"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct","temp_stim1","temp_stim2","temp_cond","temp_correct","spatial_stim","spatial_correct","temp_conf"
"09/02/2021 22:12:39","09/02/2021 17:12:39",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",4,2141,"caramelapple.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",1,1,"caramelapple.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:40","09/02/2021 17:12:41",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",5,1513,"poutine.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",2,4,"poutine.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:42","09/02/2021 17:12:42",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",6,1326,"mushrooms.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",3,3,"mushrooms.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:43","09/02/2021 17:12:44",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",7,1348,"onion.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",4,4,"onion.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:44","09/02/2021 17:12:45",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",8,1290,"broccoli.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",5,2,"broccoli.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:46","09/02/2021 17:12:46",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",9,1358,"basil.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",6,3,"basil.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:49","09/02/2021 17:12:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",11,2484,"pufferfish.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",1,4,"pufferfish.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:51","09/02/2021 17:12:51",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",12,1463,"dolphin.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",2,3,"dolphin.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:52","09/02/2021 17:12:53",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",13,1519,"stingray.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",3,1,"stingray.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:55","09/02/2021 17:12:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",14,2746,"crocodile.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",4,2,"crocodile.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:57","09/02/2021 17:12:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",15,1949,"boar.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",5,1,"boar.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:12:58","09/02/2021 17:12:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",16,1338,"llama.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",6,3,"llama.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:00","09/02/2021 17:17:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",11,2983,"bettafish.png",1,1,0,"recon_trial","SS5",2,2,"rand","pet store.png",1,2,"bettafish.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:02","09/02/2021 17:17:03",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",12,2623,"chameleon.png",1,1,0,"recon_trial","SS5",2,2,"rand","pet store.png",2,4,"chameleon.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:05","09/02/2021 17:17:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",13,2309,"ladybug.png",1,0,0,"recon_trial","SS5",2,2,"rand","pet store.png",3,3,"octopus.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:07","09/02/2021 17:17:08",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",14,2589,"octopus.png",1,0,0,"recon_trial","SS5",2,2,"rand","pet store.png",4,1,"ladybug.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:09","09/02/2021 17:17:10",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",15,2208,"gorilla.png",1,1,0,"recon_trial","SS5",2,2,"rand","pet store.png",5,3,"gorilla.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:10","09/02/2021 17:17:11",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",16,848,"killerwhale.png",1,1,0,"recon_trial","SS5",2,2,"rand","pet store.png",6,4,"killerwhale.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:13","09/02/2021 17:17:14",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",4,2183,"peanutbutter.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",1,1,"peanutbutter.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:15","09/02/2021 17:17:16",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",5,1557,"acaibowl.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",2,4,"acaibowl.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:17","09/02/2021 17:17:18",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",6,2136,"clams.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",3,3,"clams.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:19","09/02/2021 17:17:19",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",7,1279,"gummybears.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",4,4,"gummybears.png",NA,NA,NA,NA,NA,NA,NA
